,id,text,target
148,10091,foolish; totally unsound; a crazy scheme; half-baked ideas; a screwball proposal without a prayer of working,1
149,5536,serving as a base or starting point; a basic course in Russian; basic training for raw recruits; a set of basic tools; an introductory art course,1
150,110668,wear away by rubbing; The friction frayed the sleeve,0
151,12824,having turns or windings; the flexuous bed of the stream,0
152,115159,grant a pension to,0
153,6217,annoyed and irritable,1
154,105730,become or cause to become soft or liquid; The sun melted the ice; the ice thawed; the ice cream melted; The heat melted the wax; The giant iceberg dissolved over the years during the global warming phase; dethaw the meat,0
155,114969,be transferred to another owner; This restaurant changed hands twice last year,0
156,114296,"shift the position or location of, as for business, legal, educational, or military purposes; He removed his children to the countryside; Remove the troops to the forest surrounding the city; remove a case to another court",1
157,9555,inspired by love for your country,1
158,105638,cause to grow or sprout; the plentiful rain germinated my plants,0
159,112689,be in an agitated emotional state; The customer was seething with anger,1
160,114920,obtain through effort or management; She found the time and energy to take care of her aging parents; We found the money to send our sons to college,1
161,116688,"lure, entice, or entrap with bait",1
162,108775,enter a demurrer,1
163,107766,have recourse to or make an appeal or request for help or information to; She called on her Representative to help her; She turned to her relatives for help,1
164,112978,envy without restraint,1
165,112818,"experience (emotional) pain; Every time her husband gets drunk, she suffers",1
166,112916,discharge bad feelings or tension through verbalization,1
167,2864,capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction,1
168,18087,of or relating to the language or culture of the Zapotec people,0
169,107605,"make a humble, earnest petition; supplicate for permission",1
170,3850,coming only to the ankle or knee,0
171,11583,making impure by contact or mixing,1
172,106483,come out suddenly or forcefully; you stick a bill in the vending machine and the change pops out,0
173,104342,sprain or dislocate slightly; subluxate the hip,0
174,6723,showing utter resignation or hopelessness; abject surrender,1
175,116285,"marry a woman, take a wife",1
176,115203,live off somebody's generosity; This young man refuses to work and is freeloading,1
177,106245,come or bring to a finish or an end; He finished the dishes; She completed the requirements for her Master's Degree; The fastest runner finished the race in just over 2 hours; others finished in over 4 hours,1
178,111178,place on top of; can you superimpose the two images?,0
179,108587,advertize noisily or blatantly,1
180,4415,resembling a fang,0
181,115046,get (a product) from another country or business; She sourced a supply of carpet; They are sourcing from smaller companies,0
182,110549,secure or lock with a hasp,0
183,1562,shining intensely; the blazing sun; blinding headlights; dazzling snow; fulgent patterns of sunlight; the glaring sun,0
184,12855,used of syllables; an atonic syllable carries no stress,0
185,9461,not composed of distinct particles,1
186,12684,"(chemistry, physics, biology) resistant to change",0
187,108030,express pleasure verbally; She crowed with joy,1
188,15303,being or relating to or containing the essence of a plant etc; essential oil,0
189,16303,of or relating to gustation,0
190,7587,half the usual or regular size,0
191,6635,lowered in value; the dollar is low; a debased currency,1
192,105469,"cook with dry heat, usually in an oven; roast the turkey",0
193,12449,being without an escort,1
194,4934,basic and fundamental; the essential feature,1
195,17190,of or relating to sarcosomes,0
196,110436,"kill en masse; kill on a large scale; kill many; Hitler wanted to exterminate the Jews, Gypsies, Communists, and homosexuals of Europe",1
197,2451,almost complete transparent to X-rays or other forms of radiation; radiolucent tissues,0
198,4080,laid waste by war,0
199,1959,being in the original position; not having been moved; the archeologists could date the vase because it was in-situ; an in-situ investigator,1
200,6836,glowing red with heat,0
201,9916,having received what was desired,1
202,8593,made to appear to move as living creatures do; an animated cartoon; animated puppets,0
203,109840,close or secure with or as if with a stopper; She stoppered the wine bottle; The mothers stoppered their babies' mouths with pacifiers,1
204,107491,"arrange thoughts, ideas, temporal events; arrange my schedule; set up one's life; I put these memories with those of bygone times",1
205,107926,introduce an idea or attitude into the mind of; My teachers inoculated me with their beliefs,1
206,114585,recover through digging; Schliemann excavated Troy; excavate gold,0
207,493,cannot be bought or sold,1
208,111230,"capture or kill, as in hunting; bag a few pheasants",1
209,11686,characterized by sexuality; highly sexed,1
210,3201,not priestly; unbefitting a priest; unpriestly behavior,1
211,112799,cause to feel embarrassment; The constant attention of the young man confused her,1
212,6501,large and powerful; especially designed for heavy loads or rough work; a heavy truck; heavy machinery,1
213,114245,extend in one or more directions; The dough expands,1
214,13670,lacking tucks or not being tucked; the sheet came untucked; plain untucked shirt front,0
215,112767,cause to lose one's nerve; an unmanning experience,1
216,6554,consisting of elements that are not of the same kind or nature; the population of the United States is vast and heterogeneous,1
217,106919,be unable to remember; I'm drawing a blank; You are blocking the name of your first wife!,1
218,3017,occurring close together in bunches or clusters,0
219,4240,similar in nature or effect or relation to another quantity; a term is in direct proportion to another term if it increases (or decreases) as the other increases (or decreases),1
220,5322,relating to a recently developed fashion or style; their offices are in a modern skyscraper; tables in modernistic designs;,0
221,7649,involving or being or having the nature of a crime; a criminal offense; criminal abuse; felonious intent,1
222,3617,not in a state of crisis or emergency,1
223,13836,"of or located in the lower part of a town, or in the business center; downtown Manhattan; delinquents roaming the downtown streets",0
224,109801,seize suddenly,0
225,115730,act as a partner; Astaire partnered Rogers,1
226,114130,move towards; We were approaching our destination; They are drawing near; The enemy army came nearer and nearer,0
227,5487,incapable of reproducing; an infertile couple,1
228,117021,have a long or continuing effect; The discussions with my teacher reverberated throughout my adult life,1
229,105546,break up into small pieces for food preparation; bruise the berries with a wooden spoon and strain them,0
230,7308,reaching a higher intensity; their heightening fears,1
231,112404,move in a pattern; usually to musical accompaniment; do or perform a dance; My husband and I like to dance at home to the radio,0
232,110578,make tight; secure against leakage; seal the windows,0
233,104007,"become tense, nervous, or uneasy; He tensed up when he saw his opponent enter the room",1
234,10388,lacking proof or substantiation,1
235,114996,turn away from; give up; I am foreswearing women forever,1
236,111402,propel in a high arc; lob the tennis ball,0
237,13147,having a symmetrical arrangement of radiating parts about a central point,0
238,112601,make by scraping; They scraped a letter into the stone,0
239,7616,leaking in drops; a drippy faucet,0
240,110744,"gather clams, by digging in the sand by the ocean",0
241,111839,make the opening shot that scatters the balls,0
242,114070,"move through a space, circuit or system, returning to the starting point; Blood circulates in my veins; The air here does not circulate",0
243,113629,"sit and travel on the back of animal, usually while controlling its motions; She never sat a horse!; Did you ever ride a camel?; The girl liked to drive the young mare",0
244,10290,having a projecting lower jaw,0
245,14065,growing by taking over and incorporating adjacent territories; the Russian Empire was a typical incorporative state,0
246,110883,"propel, Carry the ball; dribble the ball",0
247,113513,ride a motorcycle,0
248,13280,having the taste of wine; a rich winy taste,0
